
itm_no_item|INVALID ITEM
itm_no_item_pl|INVALID ITEM
itm_tutorial_spear|창
itm_tutorial_spear_pl|창
itm_tutorial_club|곤봉
itm_tutorial_club_pl|곤봉
itm_tutorial_battle_axe|전투 도끼
itm_tutorial_battle_axe_pl|전투 도끼
itm_tutorial_arrows|화살
itm_tutorial_arrows_pl|화살
itm_tutorial_bolts|쇠뇌 화살
itm_tutorial_bolts_pl|쇠뇌 화살
itm_tutorial_short_bow|단궁
itm_tutorial_short_bow_pl|단궁
itm_tutorial_crossbow|쇠뇌
itm_tutorial_crossbow_pl|쇠뇌
itm_tutorial_throwing_daggers|투척비수
itm_tutorial_throwing_daggers_pl|투척비수
itm_tutorial_saddle_horse|승마용 말
itm_tutorial_saddle_horse_pl|승마용 말
itm_tutorial_shield|연 방패
itm_tutorial_shield_pl|연 방패
itm_tutorial_staff_no_attack|지팡이
itm_tutorial_staff_no_attack_pl|지팡이
itm_tutorial_staff|지팡이
itm_tutorial_staff_pl|지팡이
itm_tutorial_sword|검
itm_tutorial_sword_pl|검
itm_tutorial_axe|도끼
itm_tutorial_axe_pl|도끼
itm_tutorial_dagger|단검
itm_tutorial_dagger_pl|단검
itm_horse_meat|말고기
itm_horse_meat_pl|말고기
itm_practice_sword|연습용 검
itm_practice_sword_pl|연습용 검
itm_heavy_practice_sword|연습용 대검
itm_heavy_practice_sword_pl|연습용 대검
itm_practice_dagger|연습용 단검
itm_practice_dagger_pl|연습용 단검
itm_practice_axe|연습용 도끼
itm_practice_axe_pl|연습용 도끼
itm_arena_axe|도끼
itm_arena_axe_pl|도끼
itm_arena_sword|검
itm_arena_sword_pl|검
itm_arena_sword_two_handed|양손검
itm_arena_sword_two_handed_pl|양손검
itm_arena_lance|기병창
itm_arena_lance_pl|기병창
itm_practice_staff|연습용 목봉
itm_practice_staff_pl|연습용 목봉
itm_practice_lance|연습용 기병창
itm_practice_lance_pl|연습용 기병창
itm_practice_shield|연습용 방패
itm_practice_shield_pl|연습용 방패
itm_practice_bow|연습용 활
itm_practice_bow_pl|연습용 활
itm_practice_crossbow|연습용 쇠뇌
itm_practice_crossbow_pl|연습용 쇠뇌
itm_practice_javelin|연습용 투창
itm_practice_javelin_pl|연습용 투창
itm_practice_javelin_melee|근접공격용 투창
itm_practice_javelin_melee_pl|근접공격용 투창
itm_practice_throwing_daggers|투척단검
itm_practice_throwing_daggers_pl|투척단검
itm_practice_throwing_daggers_100_amount|투척단검
itm_practice_throwing_daggers_100_amount_pl|투척단검
itm_practice_horse|연습용 말
itm_practice_horse_pl|연습용 말
itm_practice_arrows|연습용 화살
itm_practice_arrows_pl|연습용 화살
itm_practice_bolts|연습용 쇠뇌화살
itm_practice_bolts_pl|연습용 쇠뇌화살
itm_practice_arrows_10_amount|연습용 화살
itm_practice_arrows_10_amount_pl|연습용 화살
itm_practice_arrows_100_amount|연습용 화살
itm_practice_arrows_100_amount_pl|연습용 화살
itm_practice_bolts_9_amount|연습용 쇠뇌화살
itm_practice_bolts_9_amount_pl|연습용 쇠뇌화살
itm_practice_boots|연습용 장화
itm_practice_boots_pl|연습용 장화
itm_red_tourney_armor|적색 시합용 갑옷
itm_red_tourney_armor_pl|적색 시합용 갑옷
itm_blue_tourney_armor|청색 시합용 갑옷
itm_blue_tourney_armor_pl|청색 시합용 갑옷
itm_green_tourney_armor|녹색 시합용 갑옷
itm_green_tourney_armor_pl|녹색 시합용 갑옷
itm_gold_tourney_armor|금색 시합용 갑옷
itm_gold_tourney_armor_pl|금색 시합용 갑옷
itm_red_tourney_helmet|적색 시합용 투구
itm_red_tourney_helmet_pl|적색 시합용 투구
itm_blue_tourney_helmet|청색 시합용 투구
itm_blue_tourney_helmet_pl|청색 시합용 투구
itm_green_tourney_helmet|녹색 시합용 투구
itm_green_tourney_helmet_pl|녹색 시합용 투구
itm_gold_tourney_helmet|금색 시합용 투구
itm_gold_tourney_helmet_pl|금색 시합용 투구
itm_arena_shield_red|방패
itm_arena_shield_red_pl|방패
itm_arena_shield_blue|방패
itm_arena_shield_blue_pl|방패
itm_arena_shield_green|방패
itm_arena_shield_green_pl|방패
itm_arena_shield_yellow|방패
itm_arena_shield_yellow_pl|방패
itm_arena_armor_white|백색 투기장 갑옷
itm_arena_armor_white_pl|백색 투기장 갑옷
itm_arena_armor_red|적색 투기장 갑옷
itm_arena_armor_red_pl|적색 투기장 갑옷
itm_arena_armor_blue|청색 투기장 갑옷
itm_arena_armor_blue_pl|청색 투기장 갑옷
itm_arena_armor_green|녹색 투기장 갑옷
itm_arena_armor_green_pl|녹색 투기장 갑옷
itm_arena_armor_yellow|황색 투기장 갑옷
itm_arena_armor_yellow_pl|황색 투기장 갑옷
itm_arena_tunic_white|백색 투기장 윗옷
